Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_413904	hCoV-19/Iran/Qom255194/2020	Asia / Iran/ Qom	2020-02-09	Iran National Influenza Center	Iran National Influenza Center	Nazanin Zahra Shafiei Jandaghi,Jila Yavarian,Fatemeh AjamiNejad, Nastaran Ghavvami,Kaveh Sadeghi and Talat Mokhtari Azad
EPI_ISL_413955	hCoV-19/Iran/Tehran1319/2020	Asia / Iran / Tehran	2020-03-05	Iran National Influenza Center	Iran National Influenza Center	Nazanin Zahra Shafiei Jandaghi, Jila Yavarian, Kaveh Sadeghi, Vahid Salimi, Simin Abbasi and Talat Mokhtari Azad
EPI_ISL_413949	hCoV-19/Iran/Tehran1337/2020	Asia / Iran / Tehran	2020-03-03	Iran National Influenza Center	Iran National Influenza Center	Jila Yavarian, Nazanin Zahra Shafiei Jandaghi,Kaveh Sadeghi, Saeedeh Mahfozi and Talat Mokhtari Azad
EPI_ISL_413906	hCoV-19/Iran/257182/2020	Asia / Iran / Tehran	2020-02-17	Iran National Influenza Center	Iran National Influenza Center	Jila Yavarian, Nazanin Zahra Shafiei Jandaghi, Kaveh Sadeghi, Nastaran Ghavvami, Fatemeh Ajaminejad and Talat Mokhtari Azad
EPI_ISL_413905	hCoV-19/Iran/25Aq/2020	Asia / Iran / Tehran	2020-02-22	Iran National Influenza Center	Iran National Influenza Center	Nazanin Zahra Shafiei Jandaghi, Jila Yavarian, Vahid Salimi, Kaveh Sadeghi and Talat Mokhtari Azad
EPI_ISL_413997	hCoV-19/Switzerland/GE3895/2020	Europe / Switzerland / Geneva	2020-02-26	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_413999	hCoV-19/Switzerland/AG0361/2020	Europe / Switzerland / Argovie	2020-02-27	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_413016	hCoV-19/Brazil/SPBR-02/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-28	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory	Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Fabiana Cristina Pereira dos Santos, Ingra Morales Claro, Flávia Cristina da Silva Sales, Claudia Regina Gonçalves, Joshua Quick, Maria do Carmo Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria
EPI_ISL_414023	hCoV-19/Switzerland/VD5615/2020	Europe / Switzerland / Vaud	2020-03-01	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_414022	hCoV-19/Switzerland/GE9586/2020	Europe / Switzerland / Geneva	2020-02-27	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_414021	hCoV-19/Switzerland/BL0902/2020	Europe / Switzerland / Basel	2020-02-27	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_414020	hCoV-19/Switzerland/GE5373/2020	Europe / Switzerland / Geneva	2020-02-27	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_414019	hCoV-19/Switzerland/GE3121/2020	Europe / Switzerland / Geneva	2020-02-27	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_414005	hCoV-19/England/200940527/2020	Europe / United Kingdom / England	2020-02-25	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414006	hCoV-19/England/200990724/2020	Europe / United Kingdom / England	2020-02-28	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414007	hCoV-19/England/200990725/2020	Europe / United Kingdom / England	2020-02-28	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414008	hCoV-19/England/200960041/2020	Europe / United Kingdom / England	2020-02-27	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414009	hCoV-19/England/200960515/2020	Europe / United Kingdom / England	2020-02-25	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414017	hCoV-19/Brazil/SPBR-04/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-03-04	Hospital São Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, Fabiana Cristina Pereira dos Santos, Carlos Henrique Camargo, Maria do Carmo Sampaito Tavares Timenetsky, Daniela Bernardes Borges da Silva, Terezinha Maria de Paiva, Ester Cerdeira Sabino
EPI_ISL_414010	hCoV-19/England/200981386/2020	Europe / United Kingdom / England	2020-02-26	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414011	hCoV-19/England/200990006/2020	Europe / United Kingdom / England	2020-02-26	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414015	hCoV-19/Brazil/SPBR-06/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-29	Hospital São Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, SimoneGuadagnucci Morillo, Carlos Henrique Camargo, Maria do Carmo Sampaito Tavares Timenetsky, Fabiana Cristina Pereira dos Santos Terezinha Maria de Paiva, Ester Cerdeira Sabino
EPI_ISL_414012	hCoV-19/England/200990723/2020	Europe / United Kingdom / England	2020-02-27	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414013	hCoV-19/England/201000003/2020	Europe / United Kingdom / England	2020-03-01	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_414014	hCoV-19/Brazil/SPBR-03/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-03-02	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, Katia Correia dos Santos, Carlos Henrique Camargo, Maria do Carmo Sampaito Tavares Timenetsky, Terezinha Maria de Paiva, Ester Cerdeira Sabino
EPI_ISL_414016	hCoV-19/Brazil/SPBR-05/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-29	Hospital São Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, Audrey Cilli, Carlos Henrique Camargo, Maria do Carmo Sampaito Tavares Timenetsky, Daniela Bernardes Borges da Silva, Terezinha Maria de Paiva, Ester Cerdeira Sabino
EPI_ISL_413996	hCoV-19/Switzerland/TI9486/2020	Europe / Switzerland / Tessin	2020-02-24	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al.
EPI_ISL_413221	hCoV-19/Scotland/CVR01/2020	Europe / Scotland	2020-03-02	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson, Antonia Ho; James Shephard, Shirin Ashraf; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, Josh Singer, David L Robertson; Andrew Rambaut; Alasdair MacLean, Rory Gunson.
EPI_ISL_414025	hCoV-19/Scotland/CVR03/2020	Europe / Scotland	2020-03-01	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson, Antonia Ho; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, David L Robertson; Alasdair MacLean, Rory Gunson.
EPI_ISL_414024	hCoV-19/Scotland/CVR02/2020	Europe / Scotland	2020-03-02	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson, Antonia Ho; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, David L Robertson; Alasdair MacLean, Rory Gunson.
EPI_ISL_414027	hCoV-19/Scotland/CVR05/2020	Europe / Scotland	2020-03-04	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson, Antonia Ho; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, David L Robertson; Alasdair MacLean, Rory Gunson.
EPI_ISL_414026	hCoV-19/Scotland/CVR04/2020	Europe / Scotland	2020-03-04	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Emma Thomson, Antonia Ho; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, David L Robertson; Alasdair MacLean, Rory Gunson.
EPI_ISL_413691	hCoV-19/China/WF0001/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413692	hCoV-19/China/WF0002/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413693	hCoV-19/China/WF0003/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413694	hCoV-19/China/WF0004/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413697	hCoV-19/China/WF0012/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413711	hCoV-19/China/WF0014/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413729	hCoV-19/China/WF0015/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413746	hCov-19/China/WF0016/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413748	hCoV-19/China/WF0018/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413749	hCoV-19/China/WF0019/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413750	hCoV-19/China/WF0020/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413751	hCoV-19/China/WF0021/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413753	hCoV-19/China/WF0024/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413761	hCoV-19/China/WF0026/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413791	hCoV-19/China/WF0028/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413809	hCoV-19/China/WF0029/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413695	hCoV-19/China/WF0006/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413696	hCoV-19/China/WF0009/2020	Asia / China	2020-01	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413747	hCoV-19/China/WF0017/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413752	hCoV-19/China/WF0023/2020	Asia / China	2020-02	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li
EPI_ISL_413863	hCoV-19/Guangdong/GD2020087-P0008/2020	Asia / China / Guangdong	2020-02-01	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413862	hCoV-19/Guangdong/GD2020086-P0021/2020	Asia / China / Guangdong	2020-02-01	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413861	hCoV-19/Guangdong/GD2020080-P0010/2020	Asia / China / Guangdong	2020-02-01	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413860	hCoV-19/Guangdong/2020XN4273-P0036/2020	Asia / China / Guangdong	2020-01-30	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413858	hCoV-19/Guangdong/2020XN4459-P0041/2020	Asia / China / Guangdong	2020-01-30	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413857	hCoV-19/Guangdong/2020XN4448-P0002/2020	Asia / China / Guangdong	2020-01-31	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413856	hCoV-19/Guangdong/GD2020233-P0027/2020	Asia / China / Guangdong	2020-02-07	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413854	hCoV-19/Guangdong/2020XN4475-P0042/2020	Asia / China / Guangdong	2020-01-30	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413853	hCoV-19/Guangdong/2020XN4243-P0035/2020	Asia / China / Guangdong	2020-01-30	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
EPI_ISL_413852	hCoV-19/Guangdong/2020XN4433-P0040/2020	Asia / China / Guangdong	2020-01-30	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Jing Lu, Louis du Plessis, Liu Zhe, Jiufeng Sun, Sarah François, Huifang Lin, Moritz Kraemer, Jingju Peng, Qianlin Xiong, Runyu Yuan, Lilian Zeng, Pingping Zhou, Chuming Liang, Tao Liu, Wei Li, Juan Su, Huanying Zheng, Kang Min, Song Tie, Bo Peng, Shisong Fang, Wenzhe Su, Kuibiao Li, Ruilin Sun, Ru bai, Xi Tang, Minfeng Liang, Nuno Faria, Josh Quick, Andrew Rambaut, Verity Hill, Wenjun Ma, Nick Loman, Oliver Pybus, Changwen Ke
